t,AVG,SD,GFP,GFPSD
0,4124.363636,1191.308546,1031090.909,297827.1364
0.3333,3820.204545,1257.689125,955051.1364,314422.2811
0.6666,3819.568182,1304.9555,954892.0455,326238.8749
1,3925.545455,1172.006319,981386.3636,293001.5798
1.3333,3920.363636,1247.784215,980090.9091,311946.0536
1.66663,3874.386364,1307.509886,968596.5909,326877.4716
1.99996,3850.840909,1191.330836,962710.2273,297832.7089
2.33329,3830.954545,1308.902415,957738.6364,327225.6038
2.66662,3964.909091,1208.546423,991227.2727,302136.6058
2.99995,3942.090909,1180.093745,985522.7273,295023.4363
3.33328,3942.181818,1310.543102,985545.4545,327635.7755
3.66661,3959.340909,1132.668653,989835.2273,283167.1631
3.99994,3769.818182,1214.17535,942454.5455,303543.8375
4.33327,3964.522727,1240.432867,991130.6818,310108.2167
4.6666,3943.727273,1200.135678,985931.8182,300033.9194
4.99993,3889.590909,1283.484743,972397.7273,320871.1857
5.33326,3912.045455,1098.571884,978011.3636,274642.971
5.66659,3897.045455,1301.762097,974261.3636,325440.5241
5.99992,3943.045455,1208.957459,985761.3636,302239.3647
6.33325,3951.840909,1151.059147,987960.2273,287764.7868
6.66658,3803.454545,1301.855643,950863.6364,325463.9106
6.99991,3877.068182,1238.683142,969267.0455,309670.7854
7.33324,3932.568182,1300.869251,983142.0455,325217.3128
7.66657,3921.75,1179.937466,980437.5,294984.3666
7.9999,3893.522727,1249.000521,973380.6818,312250.1303
8.33323,3886.181818,1197.691913,971545.4545,299422.9784
8.66656,3986.909091,1221.96182,996727.2727,305490.455
8.99989,3934.818182,1249.390871,983704.5455,312347.7177
9.33322,4014.522727,1287.306246,1003630.682,321826.5616
9.66655,3931.590909,1217.728429,982897.7273,304432.1072
9.99988,3886,1162.48923,971500,290622.3074
10.33321,3884.909091,1153.418817,971227.2727,288354.7043
10.66654,3895.681818,1239.003966,973920.4545,309750.9914
10.99987,3975.318182,1153.107082,993829.5455,288276.7705
11.3332,3934.5,1257.978362,983625,314494.5904
11.66653,3843.522727,1306.575597,960880.6818,326643.8992
11.99986,3855.931818,1145.848714,963982.9545,286462.1784
12.33319,4003.863636,1259.152107,1000965.909,314788.0266
12.66652,3940.431818,1228.47895,985107.9545,307119.7375
12.99985,3966.545455,1222.770861,991636.3636,305692.7153
13.33318,3884.75,1189.750299,971187.5,297437.5747
13.66651,3865.340909,1294.77438,966335.2273,323693.595
13.99984,3801.136364,1212.262954,950284.0909,303065.7385
14.33317,3865.681818,1243.328387,966420.4545,310832.0967
14.6665,3891.840909,1203.764269,972960.2273,300941.0673
14.99983,3880.340909,1280.141143,970085.2273,320035.2858
15.33316,3879.340909,1279.065792,969835.2273,319766.4479
15.66649,3902.204545,1275.043959,975551.1364,318760.9897
15.99982,4102.772727,1257.945277,1025693.182,314486.3192
16.33315,4117.727273,1207.194275,1029431.818,301798.5687
16.66648,4090.727273,1255.798243,1022681.818,313949.5607
16.99981,4038.931818,1224.3283,1009732.955,306082.075
17.33314,4026.5,1269.904822,1006625,317476.2054
17.66647,4072.590909,1252.525752,1018147.727,313131.438
17.9998,3998.545455,1253.823537,999636.3636,313455.8844
18.33313,4111.954545,1248.777858,1027988.636,312194.4644
18.66646,4134.090909,1337.494287,1033522.727,334373.5718
18.99979,3970.75,1200.183457,992687.5,300045.8643
19.33312,3998.227273,1266.710258,999556.8182,316677.5645
19.66645,4032.840909,1327.910983,1008210.227,331977.7457
19.99978,3917.318182,1221.59832,979329.5455,305399.5799
20.33311,4143.954545,1316.354797,1035988.636,329088.6992
20.66644,4064.409091,1369.202014,1016102.273,342300.5034
20.99977,4174.522727,1328.181507,1043630.682,332045.3768
21.3331,4048.590909,1249.470182,1012147.727,312367.5455
21.66643,4027.340909,1321.402584,1006835.227,330350.6459
21.99976,4181.75,1172.940811,1045437.5,293235.2027
22.33309,4128.613636,1318.833597,1032153.409,329708.3992
22.66642,4123.636364,1303.141358,1030909.091,325785.3396
22.99975,4086.204545,1244.864251,1021551.136,311216.0628
23.33308,4119.522727,1228.924648,1029880.682,307231.162
23.66641,4098.181818,1289.496517,1024545.455,322374.1294
23.99974,4058.545455,1199.826217,1014636.364,299956.5543
24.33307,3987.022727,1415.377926,996755.6818,353844.4815
24.6664,4004.727273,1336.758321,1001181.818,334189.5801
24.99973,4096.5,1348.276272,1024125,337069.0681
25.33306,3983.068182,1266.679314,995767.0455,316669.8284
25.66639,4058.454545,1350.935532,1014613.636,337733.883
25.99972,4014.386364,1330.036111,1003596.591,332509.0277
26.33305,4053.772727,1290.048942,1013443.182,322512.2355
26.66638,4146.022727,1252.1223,1036505.682,313030.5751
26.99971,4102.522727,1229.015573,1025630.682,307253.8932
27.33304,4024.909091,1366.534657,1006227.273,341633.6642
27.66637,4128.75,1329.175179,1032187.5,332293.7948
27.9997,4148.909091,1228.007098,1037227.273,307001.7746
28.33303,4059.386364,1377.839313,1014846.591,344459.8283
28.66636,4173.454545,1247.795441,1043363.636,311948.8603
28.99969,3999.022727,1313.681362,999755.6818,328420.3405
29.33302,4101.772727,1314.513065,1025443.182,328628.2663
29.66635,4126.318182,1248.90776,1031579.545,312226.9401
29.99968,4201.772727,1313.369975,1050443.182,328342.4938
30.33301,4235.5,1337.123005,1058875,334280.7512
30.66634,4109.818182,1308.457307,1027454.545,327114.3268
30.99967,4036.113636,1267.566524,1009028.409,316891.6311
31.333,4071.659091,1209.235448,1017914.773,302308.8621
31.66633,4096.681818,1342.721131,1024170.455,335680.2828
31.99966,4093.727273,1369.468431,1023431.818,342367.1078
32.33299,4077.340909,1273.399186,1019335.227,318349.7964
32.66632,4081.454545,1190.335275,1020363.636,297583.8188
32.99965,4071.636364,1253.470291,1017909.091,313367.5729
33.33298,4180.454545,1304.222756,1045113.636,326055.6891
33.66631,4130.386364,1312.89108,1032596.591,328222.7699
33.99964,4071.409091,1358.571588,1017852.273,339642.8969
34.33297,4113.818182,1286.780791,1028454.545,321695.1977
34.6663,4027.045455,1277.462091,1006761.364,319365.5227
34.99963,4130.045455,1236.311148,1032511.364,309077.7869
