x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
3.978259298179722e6,4.473484276023423e6,4.252494689727339e6,3.784775696858675e6,4.176252394790703e6,4.61347487254992e6,4.542622514852148e6,4.697233325666283e6,5.025394130664362e6,3.8775880192453926e6,4.659034245556828e6,4.0018858908256525e6,4.1842927314170506e6,3.746114973145155e6,4.849492837288785e6,4.849492837288785e6,4.504620766105996e6,4.936298766081029e6
3.789992276801306e6,4.3486049608976245e6,4.111872001404294e6,3.472704732934409e6,4.1868168799554408e6,4.416790617642479e6,4.1979973005279405e6,4.5495432841717135e6,4.862317216146554e6,3.671686919252412e6,4.677080615226066e6,3.9003333414226235e6,3.9502648320085197e6,3.6480810830693855e6,4.875768855034935e6,4.875768855034935e6,4.554148489025941e6,4.748646357652368e6
3.9215470954228905e6,4.299144625771825e6,4.1252061030812482e6,3.6242053190101413e6,4.1213953251201794e6,4.203661622735038e6,4.299364776203735e6,4.488046362677143e6,4.855181801628746e6,3.7527181792594315e6,4.620558594895304e6,3.868529172019594e6,3.935122092599989e6,3.7488017229936165e6,5.009502742781086e6,5.009502742781086e6,4.529958411945885e6,4.8496274892237075e6
3.8396038240444735e6,4.247416050646026e6,4.0435576547582047e6,3.5520007350858753e6,4.1560598602849166e6,4.554757327827596e6,4.287603781879529e6,4.527769651182573e6,4.889441767110938e6,3.809932919266451e6,4.613087264564544e6,3.960911142616565e6,3.8865228131914586e6,3.6212807129178476e6,4.752248760527236e6,4.752248760527236e6,4.360317444865828e6,4.761210580795047e6
3.716832232666058e6,4.0992872755202265e6,4.0753212064351593e6,3.647929441161609e6,4.113604235449654e6,4.347582462920155e6,4.318372287555323e6,4.585355329688002e6,4.9319241025931295e6,3.7285014892734704e6,4.562802904233782e6,4.010763613213535e6,4.050571033782928e6,3.7526225928420792e6,4.887116768273388e6,4.887116768273388e6,4.480444137785775e6,4.642172432366387e6
3.835911731287642e6,4.249432060394427e6,4.131184808112114e6,3.489815267237342e6,4.1000686706143916e6,4.347951558012714e6,4.3511255032311175e6,4.541437268193433e6,4.872335638075322e6,3.7704056092804894e6,4.706736593903021e6,3.7583731038105064e6,3.866160884374397e6,3.6554392927663093e6,4.795160776019539e6,4.795160776019539e6,4.460507010705717e6,4.664332223937726e6
3.9388300199092254e6,4.226340015268628e6,3.953703219789069e6,3.6611629533130745e6,4.0635671757791284e6,4.4319620031052735e6,4.281240858906911e6,4.553374616698863e6,4.872004943557514e6,3.84463214928751e6,4.577914423572261e6,4.045256654407477e6,3.990231374965866e6,3.7473705026905406e6,4.71993305376569e6,4.71993305376569e6,4.552280703625661e6,4.708040295509065e6
3.96944815853081e6,4.314958790142829e6,4.122411761466023e6,3.612207829388808e6,4.255874390943866e6,4.405679278197832e6,4.232620964582706e6,4.607841465204292e6,4.762798729039706e6,3.7688713192945295e6,4.706821023241499e6,4.021391325004447e6,3.9725368655573353e6,3.7202191126147723e6,4.870111681511841e6,4.870111681511841e6,4.443315156545606e6,4.8611909470804045e6
3.9039496271523936e6,4.318518565017029e6,4.1638153331429786e6,3.655967015464541e6,4.1467892161086043e6,4.46020260329039e6,4.318394290258499e6,4.567325763709723e6,4.905367154521897e6,3.803403659301549e6,4.542841132910739e6,3.931179975601418e6,3.7960655561488047e6,3.594115752539003e6,4.919070099257992e6,4.919070099257992e6,4.51268997946555e6,4.765685788651743e6
3.9439242557739783e6,4.252046429891231e6,4.1005963348199334e6,3.444832731540275e6,4.1896761212733425e6,4.38345153838295e6,4.1832977459342927e6,4.514618272215151e6,4.91354236000409e6,3.7511758193085683e6,4.566274572579977e6,3.875275756198389e6,3.948772576740274e6,3.7124152524632346e6,4.825979987004142e6,4.825979987004142e6,4.441150392385494e6,4.752687860223083e6
