,High,Close to Average,Low
0,66318517.59,18076171.62,7653325.29
1,65642298.54,17935540.74,7414309.5
2,65916188.52,18562425.57,7674306.51
3,65296675.47,17908605.39,7676574.75
4,64988478.36,18358851.03,7938840
5,66393936.57,18451848.87,7729878.39
6,67583061.39,18667331.67,7980235.38
7,67108432.17,18654572.82,7829113.89
8,66987081.33,18851909.7,7740085.47
9,65554404.24,18368491.05,7625822.88
10,65557239.54,18595882.11,7598036.94
11,66092544.18,18460921.83,7624972.29
12,65135063.37,18441641.79,7816638.57
13,66157756.08,18246856.68,7986473.04
14,65576236.05,18527551.38,7925230.56
15,66091126.53,18425764.11,7407788.31
16,65948794.47,18068516.31,7838753.91
17,65869689.6,18263584.95,7664666.49
18,66246217.44,18536340.81,7715985.42
19,67524087.15,18505436.04,7717970.13
20,68235747.45,18374161.65,7925230.56
21,67615950.87,18617713.92,7875896.34
22,66961847.16,18859848.54,7533675.63
23,68184144.99,18406200.54,7849528.05
24,69109019.85,18229844.88,7663815.9
25,68480433.84,18194687.16,7706061.87
26,68026502.31,18631890.42,7441528.38
27,68946273.63,18539459.64,7637164.08
28,69048911.49,18160947.09,7693303.02
29,69328472.07,18257347.29,7714000.71
30,69006098.46,18368207.52,7638014.67
31,68414938.41,18846806.16,7557208.62
32,68900341.77,18483320.7,7734131.34
33,69447838.2,18377564.01,7495966.14
34,69215060.07,18842836.74,7427918.94
35,69520138.35,18698236.44,7661831.19
36,69888727.35,18898692.15,7696421.85
37,70325080.02,18298175.61,7325848.14
38,68912533.56,18465741.84,7548135.66
39,70730811.45,18669316.38,7759365.51
40,71194666.53,18741900.06,7498234.38
41,71097415.74,18483887.76,7320177.54
42,70428284.94,18771670.71,7628941.71
43,71285396.13,19080718.41,7463360.19
44,71114427.54,18789249.57,7399282.41
45,71460050.61,18573199.71,7409773.02
46,71699349.93,18513374.88,7484341.41
47,74158689.15,18448446.51,7479521.4
48,72249681.66,18999061.77,7498517.91
49,70989390.81,18889335.66,7500786.15
50,72552775.23,18425480.58,7209884.37
51,72867493.53,19035070.08,7246743.27
52,72814189.89,18334467.45,7093637.07
53,71069346.27,18831212.01,7243057.38
54,70032477.06,19037905.38,7283318.64
55,71257893.72,18610909.2,7351365.84
56,72748977.99,19073913.69,7243907.97
57,72044405.94,18637277.49,7307135.16
58,72245712.24,19276921.17,6933726.15
59,72428872.62,19140826.77,7187201.97
60,71218483.05,19124949.09,7235118.54
61,72333039.48,18993674.7,7281333.93
62,72747560.34,18958800.51,7246743.27
63,71817581.94,19485315.72,6864828.36
64,73958516.97,19389766.11,6790827.03
65,73010676.18,19074764.28,7456271.94
66,73538325.51,19162375.05,7298062.2
67,74202352.77,18980632.32,7229164.41
68,74233541.07,19642391.34,7135883.04
69,72629611.86,18885082.71,7241356.2
70,73071918.66,19421805,6825984.75
71,73976946.42,19143378.54,7053942.87
72,75092920.5,19309527.12,7245325.62
73,76901841.9,19256790.54,7121423.01
74,72846795.84,19371903.72,7092502.95
75,71913698.61,19721212.68,7221509.1
76,75431171.79,19293365.91,6835057.71
77,73916838.06,19528412.28,7015949.85
78,74701082.04,19548542.91,7221792.63
79,74987163.81,19424356.77,7076908.8
80,77417866.5,19361696.64,7092219.42
81,73365088.68,19413866.16,7279916.28
